instrument,avg_score,pos_ratio,real_label,code,name,datetime,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,VWAP0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60
SH600150,0.20392237718673853,1.0,,SH600150,中国船舶,2026-03-09,-0.034161467,0.03959628,-0.86274445,0.003623137,0.09150196,0.0018116727,0.04575361,-0.035972934,-0.9084928,1.0353698,1.039121,0.99812424,1.0111952,1.0217148,0.974054,0.8986907,0.94667083,0.9065144,1.0243174,1.019687,0.9756706,0.96414924,0.94032276,0.019599805,0.015298009,0.049656153,0.044809744,0.04435336,-0.00035125998,0.0017727964,0.0076313447,0.0035963454,0.0019015231,0.00080295984,0.12310037,0.8266545,0.4992057,0.560596,-0.023614865,-0.027664604,-0.04816835,-0.01629622,0.0035823043,1.0570434,1.0570434,1.0570434,1.0570434,1.0570434,0.985516,0.9753483,0.8856153,0.8856153,0.8702901,1.0394698,1.0342807,1.0212677,1.0133802,0.96666133,1.0053648,1.0053648,0.9285007,0.9285007,0.8986907,0.2,0.15,0.575,0.71666664,0.85833335,0.20249566,0.3017522,0.6672457,0.6672457,0.6945519,0.8,0.9,0.95,0.96666664,0.98333335,0.4,0.1,0.05,0.36666667,0.16666667,0.4,0.8,0.9,0.6,0.81666666,-0.41732556,-0.19532639,0.50233924,0.45268527,0.70229596,-0.40787083,-0.052149218,0.3291938,0.31864014,0.43320778,0.6,0.7,0.7,0.53333336,0.5,0.4,0.3,0.3,0.46666667,0.48333332,0.2,0.4,0.4,0.06666667,0.016666668,0.3851353,0.5803264,0.6560887,0.56097126,0.56238675,0.6148647,0.4196736,0.34391126,0.43902874,0.43761322,-0.2297294,0.16065282,0.31217745,0.12194252,0.124773555,0.99627894,0.9720157,0.87631804,0.8350144,0.68318707,0.1706492,0.19471194,0.25532666,0.2382787,0.29069763,0.8641266,0.8435003,0.89426386,0.93027115,1.1452373,0.5173751,0.4921682,0.51632375,0.53352547,0.5239341,0.4826249,0.5078318,0.48367622,0.46647453,0.47606584,0.03475025,-0.015663642,0.032647528,0.067050956,0.04786829
SH600039,0.10078438960500041,1.0,,SH600039,四川路桥,2026-03-09,-0.051184878,0.056872092,-0.8999999,0.0028436074,0.05000005,0.0028436074,0.05000005,-0.051184878,-0.8999999,1.0539461,1.056943,0.997003,1.0204742,1.013989,0.9540859,0.9700831,1.0100415,0.94404435,1.0238088,1.0044183,0.9894841,0.992103,0.9920822,0.024846226,0.029239906,0.026557073,0.027477179,0.029057939,0.0031925167,0.0076790056,0.0030552652,0.00021382577,0.00036181166,0.04127485,0.6322218,0.46323934,0.004693291,0.0472863,-0.030193908,-0.03897382,-0.018509109,0.004796552,-0.0027556429,1.0619897,1.0619897,1.0619897,1.0619897,1.0639647,0.98504645,0.94605696,0.94605696,0.94605696,0.9111136,1.0458033,1.0197922,1.0074239,1.0145984,1.0174239,1.00482,0.9788366,0.96947366,0.96947366,0.9700831,0.2,0.5,0.75,0.7,0.6666667,0.19434498,0.46529594,0.46529594,0.46529594,0.58152276,0.8,0.9,0.95,0.96666664,0.45,0.4,0.1,0.55,0.7,0.05,0.4,0.8,0.4,0.26666668,0.4,-0.62775713,0.3690631,0.5733501,0.2121451,0.19195212,-0.791815,-0.07943855,0.012982684,-0.14943132,0.07947483,0.6,0.8,0.6,0.53333336,0.51666665,0.4,0.2,0.4,0.46666667,0.48333332,0.2,0.6,0.2,0.06666667,0.033333335,0.4396654,0.63056314,0.5542441,0.48737156,0.53598785,0.5603346,0.36943686,0.44575587,0.51262844,0.46401215,-0.12066921,0.2611263,0.10848826,-0.025256861,0.071975686,0.80922735,0.7323356,0.59889644,0.65833986,0.7413121,0.10723944,0.16315807,0.2007998,0.2335645,0.3549734,1.0432075,1.1104237,1.2597493,1.0717177,1.9169561,0.67837054,0.7010057,0.555624,0.51026285,0.52262646,0.3216295,0.2989943,0.44437596,0.48973715,0.4773735,0.356741,0.4020114,0.11124806,0.02052572,0.04525296
SH600926,0.10004415678469497,1.0,,SH600926,杭州银行,2026-03-09,-0.001827063,0.019488482,-0.09375092,0.01339831,0.68749887,0.004263109,0.21875018,-0.010962264,-0.56249964,1.0018305,1.0152532,0.9957291,1.0031031,1.0048815,0.99023706,0.986053,0.9377034,0.9646676,1.0064621,1.0003719,0.9971409,0.98096234,0.96228886,0.004287431,0.008211196,0.012443556,0.028327828,0.028855665,-0.0007438413,0.0020624672,0.0011007302,0.0027507707,0.0013134622,0.075249955,0.57832587,0.27386767,0.7307753,0.6319356,-0.0049744365,-0.009653028,-0.007597798,-0.020848515,-0.001035989,1.0220536,1.0220536,1.0220536,1.0220536,1.0220536,0.98896104,0.98120046,0.96103555,0.9163778,0.9163778,1.0099953,1.0067875,1.0064156,1.005021,0.99507207,1.0044631,0.992887,0.98977214,0.9559275,0.932357,0.2,0.5,0.5,0.6666667,0.8333333,0.3335774,0.4601735,0.6385718,0.7913086,0.7913086,0.2,0.6,0.8,0.8666667,0.93333334,0.4,0.2,0.1,0.06666667,0.53333336,-0.2,0.4,0.7,0.8,0.4,-0.5439681,0.07777134,-0.17587824,-0.59590447,-0.30374128,-0.73706925,-0.20172957,0.10752463,0.12902434,0.20369618,0.6,0.6,0.45,0.53333336,0.51666665,0.4,0.4,0.55,0.46666667,0.48333332,0.2,0.2,-0.1,0.06666667,0.033333335,0.35616356,0.6029413,0.5467291,0.61858404,0.53307223,0.64383644,0.39705876,0.4532709,0.38141596,0.4669278,-0.2876729,0.20588249,0.09345815,0.2371681,0.066144414,1.0366864,0.95515895,1.060714,1.3730998,1.3934381,0.5106896,0.37484038,0.3789087,0.6362146,0.59852636,1.2580434,1.0873128,1.311013,1.0900837,1.3158828,0.46298006,0.55611646,0.45639583,0.45084363,0.49507698,0.53701997,0.44388357,0.54360414,0.54915637,0.50492305,-0.07403988,0.11223288,-0.0872083,-0.098312736,-0.009846052
SH601077,0.09227564287479145,1.0,,SH601077,渝农商行,2026-03-09,-0.0030030468,0.018018052,-0.16666879,0.012011957,0.6666624,0.0030030468,0.16666879,-0.012011957,-0.6666624,1.0030121,1.0150602,0.9969879,1.0059003,0.9782609,1.0010352,0.97515523,0.9254659,0.96894413,1.0099379,0.994617,0.9905797,0.9697723,0.9530193,0.008429079,0.017148053,0.022171741,0.037968848,0.033233095,-0.0034161545,0.004140785,0.0020812913,0.0036880178,0.0013362641,0.4106339,0.5344993,0.308414,0.7311944,0.49310893,-0.0031055762,-0.013250513,-0.010351975,-0.023248516,0.00756089,1.0344437,1.0344437,1.0344437,1.0344437,1.0344437,0.96819127,0.9647157,0.9375145,0.89210725,0.89210725,1.0171843,1.0115942,1.010352,1.0045549,0.98302275,1.0024844,0.9782609,0.97805387,0.92505175,0.9231884,0.2,0.6,0.6,0.73333335,0.8666667,0.48011383,0.5060271,0.6446506,0.75801164,0.75801164,0.2,0.6,0.8,0.8666667,0.93333334,0.2,0.5,0.1,0.033333335,0.51666665,0.0,0.1,0.7,0.8333333,0.41666666,0.16317487,0.52116394,-0.006265564,-0.45551997,-0.18067001,0.42544478,0.16150004,0.3250996,0.17258178,0.13160072,0.6,0.5,0.55,0.6333333,0.5,0.4,0.5,0.45,0.36666667,0.5,0.2,0.0,0.1,0.26666668,0.0,0.67796576,0.49438187,0.557143,0.60714287,0.52396166,0.32203424,0.5056181,0.44285703,0.39285716,0.47603837,0.3559315,-0.011236236,0.114285976,0.21428567,0.047923278,1.1735221,1.0149562,0.99131393,1.144153,1.088865,0.35850367,0.31783608,0.29800513,0.36958268,0.36843276,1.2963617,1.5063069,1.2001641,1.2398506,1.1399608,0.44899765,0.5701711,0.46479547,0.47089547,0.5068258,0.5510024,0.42982885,0.5352045,0.52910453,0.4931742,-0.10200472,0.1403423,-0.07040906,-0.05820906,0.013651627
SZ002311,0.08930525073947647,1.0,,SZ002311,海大集团,2026-03-09,-0.016696582,0.03447046,-0.48437363,0.010772075,0.3125016,0.0070018037,0.20312476,-0.020466853,-0.5937505,1.01698,1.027935,0.99287933,1.00718,0.9897688,0.9727921,0.94046843,0.96767646,1.0001755,0.9916245,0.98905164,0.9817882,0.9684254,0.976671,0.017257048,0.014183246,0.018753845,0.025910638,0.023485694,0.004824707,0.0019158423,0.0018601657,0.0022265578,-0.00018824397,0.19541095,0.16725524,0.3443425,0.5722864,0.019594545,-0.0012739049,0.0023270706,0.00054019014,-0.00071048003,0.028882233,1.027935,1.027935,1.027935,1.027935,1.0396167,0.9614609,0.9605474,0.9198477,0.89830524,0.89830524,1.0026631,1.0001454,0.9943027,0.99161947,0.9952505,0.98278254,0.9768344,0.97246104,0.9407694,0.96226496,0.8,0.8,0.9,0.93333334,0.85,0.57976043,0.5854572,0.741551,0.78450114,0.7196499,1.0,1.0,1.0,1.0,0.33333334,0.6,0.1,0.1,0.26666668,0.6333333,0.4,0.9,0.9,0.73333335,-0.3,0.63141495,0.35480458,0.0987237,-0.3660162,-0.32553083,0.38296542,0.06833129,0.34390533,0.24451965,0.050144788,0.4,0.4,0.5,0.43333334,0.43333334,0.6,0.6,0.5,0.56666666,0.53333336,-0.2,-0.2,0.0,-0.13333334,-0.1,0.55537456,0.5834229,0.6030382,0.53914833,0.49988765,0.44462547,0.4165771,0.3969618,0.46085167,0.50011235,0.11074907,0.16684578,0.20607637,0.078296684,-0.00022469186,0.8625387,0.7225554,0.7454924,0.8361059,0.7553271,0.12989196,0.18094148,0.25341126,0.2753046,0.25056282,1.0336318,1.0117453,1.1443797,1.0263432,1.0325058,0.6783053,0.65614516,0.51429737,0.5221699,0.5234189,0.32169464,0.34385484,0.48570266,0.47783014,0.4765811,0.3566107,0.31229034,0.028594684,0.044339735,0.046837818
SZ000708,0.08747671947437538,1.0,,SZ000708,中信特钢,2026-03-09,-0.004571499,0.029142853,-0.15686518,0.0074285045,0.2548997,0.017142849,0.58823514,0.0051428457,0.17647022,1.0045925,1.0120552,0.98277843,0.9985398,1.0183929,0.88859904,0.94260377,0.8989043,0.9156014,1.0085834,0.99474305,0.9407971,0.93295944,0.91651237,0.0072941477,0.037494015,0.06312855,0.052855983,0.04312153,-0.0023480435,0.0075714057,0.009803761,0.003949369,0.0014639724,0.2590617,0.37380108,0.8441152,0.43268198,0.35154206,-0.003887301,-0.028814381,-0.033932794,0.009774722,0.04030047,1.0384588,1.0527542,1.0527542,1.0527542,1.0527542,0.98277843,0.8920149,0.84789723,0.84789723,0.84789723,1.0139838,1.0174538,1.0108792,1.0004436,0.9277328,1.0017741,0.9844509,0.8855988,0.8914167,0.8867467,0.2,0.4,0.7,0.8,0.9,0.30929318,0.6718026,0.7424827,0.7424827,0.7424827,0.2,0.4,0.7,0.8,0.9,1.0,0.1,0.1,0.4,0.7,-0.8,0.3,0.6,0.4,0.2,0.0052098706,0.53871226,0.29616264,0.26927653,0.18524352,-0.7185693,0.5675131,0.07488342,0.12412893,-0.051046636,0.4,0.6,0.55,0.56666666,0.56666666,0.6,0.4,0.45,0.43333334,0.43333334,-0.2,0.2,0.1,0.13333334,0.13333334,0.27184415,0.7740693,0.5647821,0.5891829,0.55203474,0.72815585,0.22593068,0.43521795,0.41081706,0.44796523,-0.45631173,0.5481386,0.12956412,0.17836587,0.10406952,1.10521,1.2796904,1.1403384,1.1289004,1.0039439,0.36573645,0.48490512,0.5602104,0.4907747,0.44046807,0.89165884,1.1086891,1.6366235,1.6694527,1.9029325,0.227099,0.56601614,0.4299084,0.51667714,0.5015663,0.772901,0.43398386,0.5700916,0.48332286,0.4984337,-0.545802,0.13203228,-0.14018323,0.03335431,0.0031326078
SZ301236,0.081852751091129,0.875,,SZ301236,软通动力,2026-03-09,0.043114576,0.056413595,0.7642586,0.0075075165,0.13307992,0.005791503,0.102661476,0.041398562,0.73384017,0.95866746,1.0071973,0.95311534,0.9793726,0.9880792,0.9767859,0.9880792,1.0592453,0.9448777,0.9559559,0.96836066,0.96894324,0.9913746,0.9883556,0.02901817,0.028024992,0.021689689,0.03961007,0.047119144,0.013543061,-0.00083111104,-6.0381477e-05,-0.0031389184,0.00037646774,0.5445448,0.008061921,0.00027124948,0.48668787,0.01946976,0.01695798,0.03537934,0.03163037,0.054139704,0.0005386231,1.0072005,1.0405465,1.0405465,1.1289334,1.1351055,0.9243834,0.9243834,0.9243834,0.9243834,0.9116218,0.9738281,0.9904634,0.9836336,1.027122,1.0262794,0.93130773,0.9471901,0.95514923,0.9612978,0.9506857,1.0,0.9,0.95,0.6666667,0.7,0.91305596,0.6509517,0.6509517,0.36967283,0.39545697,0.2,0.4,0.7,0.2,0.46666667,0.4,0.7,0.85,0.9,0.16666667,-0.2,-0.3,-0.15,-0.7,0.3,0.7842271,0.65199053,0.41781804,0.51074684,0.81082416,0.6457329,0.7680328,0.44929835,0.53134245,0.67752725,0.6,0.5,0.5,0.4,0.45,0.4,0.5,0.5,0.6,0.55,0.2,0.0,0.0,-0.2,-0.1,0.5463416,0.5508042,0.5156729,0.44584632,0.5259078,0.45365837,0.44919577,0.48432708,0.5541537,0.4740922,0.09268323,0.101608425,0.03134583,-0.10830734,0.05181564,0.6847541,0.6691786,0.56978536,0.6051485,0.5917811,0.21025088,0.27506992,0.23348922,0.21894076,0.33253887,0.67236316,0.93534315,1.0889492,1.0829066,1.7104608,0.6346253,0.62442386,0.5586556,0.50910765,0.5269127,0.36537468,0.3755761,0.44134438,0.49089238,0.47308728,0.2692506,0.24884778,0.11731125,0.018215269,0.053825423
SH600919,0.07989585359145529,1.0,,SH600919,江苏银行,2026-03-09,-0.0019065671,0.012392748,-0.15384538,0.009532897,0.7692319,0.00095328357,0.07692269,-0.010486181,-0.84615463,1.0019102,1.0114613,0.9990449,1.0042434,0.99714446,0.9925757,0.96801823,0.9326099,0.99600226,1.0043404,0.99714446,0.9920902,0.9751951,0.9703788,0.005133566,0.009792365,0.014471938,0.028192297,0.021946944,0.0005711016,0.0026305325,0.0016312907,0.0028753313,0.00057360943,0.030940583,0.6614904,0.44471046,0.80615133,0.20834556,-0.0054825805,-0.008981882,-0.007587497,-0.01688743,0.012699691,1.015639,1.015639,1.015639,1.015639,1.015639,0.985086,0.9763148,0.9487659,0.921739,0.921739,1.0086807,1.0034267,1.0013707,1.0,0.99474585,1.0,0.98800683,0.9845802,0.93889207,0.95545405,0.3,0.65,0.725,0.81666666,0.90833336,0.4881354,0.60230625,0.76613957,0.83345073,0.83345073,0.8,0.9,0.95,0.96666664,0.98333335,0.4,0.3,0.1,0.033333335,0.51666665,0.4,0.6,0.85,0.93333334,0.46666667,-0.6823734,0.35240117,-0.24824353,-0.6382221,-0.4965027,-0.32724938,0.18884768,0.37183914,0.37823474,0.053834528,0.6,0.5,0.5,0.46666667,0.4,0.4,0.5,0.5,0.46666667,0.55,0.2,0.0,0.0,0.0,-0.15,0.55555606,0.54961824,0.60769236,0.64320403,0.5041816,0.4444439,0.4503818,0.3923076,0.356796,0.4958184,0.11111218,0.09923645,0.21538477,0.286408,0.008363205,1.1053668,1.009953,1.0082644,1.2083951,1.2578144,0.25086963,0.21128601,0.2585206,0.39352652,0.3560431,0.52313215,0.6962984,1.0773968,1.3386154,1.1663694,0.52556926,0.56875753,0.43660173,0.4196306,0.4853318,0.4744307,0.43124247,0.56339824,0.5803694,0.51466817,0.05113856,0.13751505,-0.12679653,-0.1607388,-0.029336382
SH601328,0.0771820368461034,1.0,,SH601328,交通银行,2026-03-09,0.004457631,0.013372982,0.33333114,0.007429415,0.5555541,0.0014859359,0.11111477,-0.0014858476,-0.111108184,0.99556214,1.0073965,0.9940828,1.0013056,0.97334063,0.9836779,0.97932535,1.016322,1.0897715,0.99553865,0.9859086,0.98949945,0.9888647,1.025408,0.0064306115,0.01190187,0.011784698,0.01261371,0.03956226,0.0022850903,0.0027533195,1.718113e-05,-6.681338e-05,-0.0019830498,0.31567645,0.49056235,7.439343e-05,0.0021744175,0.7663107,-0.00010881382,0.0017014525,0.010337314,0.012104075,0.03309191,1.0073965,1.0073965,1.0131422,1.0234956,1.0917948,0.9715954,0.96298593,0.96298593,0.9583144,0.9583144,1.0003264,0.9973885,1.0,1.0,1.0683352,0.9922742,0.97334063,0.9784549,0.97736675,0.9836779,0.8,0.9,0.825,0.81666666,0.40833333,0.79340154,0.8334529,0.73797417,0.6395348,0.31229734,1.0,1.0,0.4,0.033333335,0.3,0.2,0.5,0.75,0.3,0.65,0.8,0.5,-0.35,-0.26666668,-0.35,-0.36992714,0.4598156,0.019561518,-0.26725313,-0.6045246,0.61935496,0.5273725,0.2858714,0.05036176,0.06959762,0.6,0.5,0.5,0.43333334,0.36666667,0.4,0.5,0.45,0.5,0.5833333,0.2,0.0,0.05,-0.06666667,-0.21666667,0.7525773,0.6056338,0.5629139,0.4651163,0.40328252,0.24742268,0.3943662,0.4370861,0.53488374,0.5967175,0.5051546,0.2112676,0.12582782,-0.069767445,-0.19343494,1.1189551,0.89037865,0.86294395,0.9620513,0.80555874,0.44368142,0.38835117,0.3163357,0.33439854,0.29816318,1.1739123,1.4342489,1.1317055,1.0418929,1.0619224,0.53399384,0.5454406,0.47847855,0.5019969,0.5098122,0.46600613,0.45455936,0.52152145,0.49800313,0.49018782,0.06798772,0.09088129,-0.043042876,0.0039937627,0.019624375
SZ001965,0.07593777617954237,1.0,,SZ001965,招商公路,2026-03-09,0.00913707,0.021319794,0.42857212,0.00913707,0.42857212,0.003045655,0.14285575,0.003045655,0.14285575,0.99094564,1.0090543,0.98792756,1.0002282,0.9818731,0.966012,0.9433534,0.95845914,1.0203928,0.9770392,0.97552866,0.9754154,0.9682528,0.981143,0.019422786,0.013521309,0.010310871,0.01398527,0.018777149,0.008685807,0.0017486012,0.00027542366,0.0009932133,-0.0006072518,0.49996233,0.15330473,0.024973525,0.39088145,0.3189908,0.005589147,0.016602619,0.02196809,0.017345652,0.03677094,1.0090543,1.0090543,1.0090543,1.0090543,1.0254197,0.9458751,0.9458751,0.9458751,0.9433534,0.9433534,0.9927492,0.9836858,0.9818731,0.9812688,0.9977341,0.96359515,0.96858,0.96858,0.95407856,0.9666163,1.0,1.0,1.0,1.0,0.85,0.856688,0.856688,0.856688,0.8621885,0.69025403,1.0,1.0,1.0,1.0,0.016666668,0.4,0.7,0.85,0.33333334,0.6666667,0.6,0.3,0.15,0.6666667,-0.65,-0.10468467,0.12731978,-0.07658942,-0.25345454,-0.0778886,-0.48376095,-0.39463112,-0.112840824,-0.0023825627,0.06147986,0.6,0.6,0.6,0.53333336,0.46666667,0.4,0.3,0.3,0.4,0.45,0.2,0.3,0.3,0.13333334,0.016666668,0.6132076,0.6573426,0.6623375,0.58208954,0.47775948,0.38679245,0.3426574,0.33766252,0.41791043,0.5222405,0.22641511,0.31468523,0.324675,0.16417915,-0.044481017,0.8359353,0.6590858,0.57023066,0.6088555,0.61508965,0.1980225,0.24419686,0.2610459,0.2301174,0.22458725,0.67818725,1.035778,1.2791606,1.1713605,1.0989388,0.6272598,0.6939708,0.52725255,0.53091353,0.4967744,0.37274018,0.3060292,0.47274747,0.4690865,0.5032256,0.25451964,0.38794163,0.054505073,0.061827008,-0.0064511923
