instrument,avg_score,pos_ratio,real_label,code,name,datetime,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,VWAP0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60
SH600150,0.20392237718673853,1.0,,SH600150,中国船舶,2026-03-09,-0.034161467,0.03959628,-0.86274445,0.003623137,0.09150196,0.0018116727,0.04575361,-0.035972934,-0.9084928,1.0353698,1.039121,0.99812424,1.0111952,1.0217148,0.974054,0.8986907,0.94667083,0.9065144,1.0243174,1.019687,0.9756706,0.96414924,0.94032276,0.019599805,0.015298009,0.049656153,0.044809744,0.04435336,-0.00035125998,0.0017727964,0.0076313447,0.0035963454,0.0019015231,0.00080295984,0.12310037,0.8266545,0.4992057,0.560596,-0.023614865,-0.027664604,-0.04816835,-0.01629622,0.0035823043,1.0570434,1.0570434,1.0570434,1.0570434,1.0570434,0.985516,0.9753483,0.8856153,0.8856153,0.8702901,1.0394698,1.0342807,1.0212677,1.0133802,0.96666133,1.0053648,1.0053648,0.9285007,0.9285007,0.8986907,0.2,0.15,0.575,0.71666664,0.85833335,0.20249566,0.3017522,0.6672457,0.6672457,0.6945519,0.8,0.9,0.95,0.96666664,0.98333335,0.4,0.1,0.05,0.36666667,0.16666667,0.4,0.8,0.9,0.6,0.81666666,-0.41732556,-0.19532639,0.50233924,0.45268527,0.70229596,-0.40787083,-0.052149218,0.3291938,0.31864014,0.43320778,0.6,0.7,0.7,0.53333336,0.5,0.4,0.3,0.3,0.46666667,0.48333332,0.2,0.4,0.4,0.06666667,0.016666668,0.3851353,0.5803264,0.6560887,0.56097126,0.56238675,0.6148647,0.4196736,0.34391126,0.43902874,0.43761322,-0.2297294,0.16065282,0.31217745,0.12194252,0.124773555,0.99627894,0.9720157,0.87631804,0.8350144,0.68318707,0.1706492,0.19471194,0.25532666,0.2382787,0.29069763,0.8641266,0.8435003,0.89426386,0.93027115,1.1452373,0.5173751,0.4921682,0.51632375,0.53352547,0.5239341,0.4826249,0.5078318,0.48367622,0.46647453,0.47606584,0.03475025,-0.015663642,0.032647528,0.067050956,0.04786829
SZ300999,0.14410384635447449,0.875,,SZ300999,金龙鱼,2026-03-09,0.061272044,0.120213166,0.50969493,0.057942078,0.48199445,0.0009990449,0.008310611,0.0043290113,0.036011126,0.94226545,1.0545968,0.9413241,1.0066699,0.91075295,0.9212891,0.9445305,0.92345834,0.9116826,0.9304617,0.9251007,0.928246,0.93107116,0.9229676,0.039609972,0.027237052,0.02076889,0.018391257,0.017266542,0.016795786,0.0034237704,0.00014096292,-0.00026121395,0.00050076743,0.44950202,0.14484398,0.00161232,0.015634054,0.25654367,0.035946716,0.059492357,0.07041483,0.07271646,0.062259723,1.0545968,1.0545968,1.0545968,1.0545968,1.0545968,0.89121836,0.89121836,0.89121836,0.89121836,0.890513,0.9365354,0.9231484,0.93938637,0.9416176,0.9360396,0.91143477,0.91348,0.9163929,0.9192438,0.9085838,1.0,1.0,1.0,1.0,1.0,0.66582614,0.66582614,0.66582614,0.66582614,0.6672626,1.0,1.0,1.0,1.0,1.0,0.8,0.9,0.95,0.96666664,0.11666667,0.2,0.1,0.05,0.033333335,0.8833333,0.89391977,0.71642154,0.41218618,0.47760758,0.5969721,0.8264148,0.8078813,0.68993205,0.72310764,0.6855584,0.8,0.6,0.55,0.56666666,0.55,0.2,0.4,0.45,0.43333334,0.43333334,0.6,0.2,0.1,0.13333334,0.11666667,0.844498,0.757085,0.6039489,0.60114664,0.5776567,0.155502,0.24291499,0.39605108,0.39885336,0.42234328,0.688996,0.51417,0.20789781,0.20229326,0.15531343,0.3957168,0.268194,0.22278401,0.21621856,0.17982024,0.34135795,0.2652209,0.19441329,0.16460554,0.1248204,1.8912417,2.6193063,2.9694002,2.9761994,3.5726225,0.87390226,0.8416851,0.70771885,0.6807176,0.630917,0.12609772,0.15831488,0.29228115,0.31928238,0.36908296,0.7478046,0.68337023,0.4154377,0.36143523,0.26183406
SH600160,0.14193276810020228,1.0,,SH600160,巨化股份,2026-03-09,-0.02032522,0.044476297,-0.45698994,0.0074127163,0.16666667,0.01673836,0.3763434,-0.010999576,-0.24731322,1.020747,1.0283134,0.9829144,1.0019481,1.0568777,0.947279,0.9602223,0.9110547,0.82161397,1.0168974,1.0158486,0.9818362,0.97587496,0.93594396,0.019619413,0.021224374,0.041211594,0.035435587,0.051971257,-0.0011263515,0.0019177834,0.006106041,0.0026974312,0.0026209834,0.008239785,0.07484121,0.7683316,0.44907942,0.7757145,-0.014644779,-0.024478696,-0.039843615,-0.0149877025,-0.013262943,1.070066,1.0720109,1.0720109,1.0720109,1.0720109,0.9829144,0.9497263,0.90531045,0.90531045,0.816026,1.0318395,1.0318395,1.0144122,1.0024551,0.9752504,0.99951327,0.99951327,0.94332486,0.9503629,0.887188,0.4,0.3,0.65,0.76666665,0.8833333,0.19604483,0.4111207,0.56802243,0.56802243,0.718691,0.2,0.5,0.75,0.8333333,0.9166667,1.0,0.1,0.25,0.5,0.016666668,-0.8,0.4,0.5,0.33333334,0.9,-0.0070891837,0.3830348,0.41609386,0.07703137,0.40904543,0.20018762,0.5880301,0.49019173,0.32282117,0.30970076,0.4,0.7,0.6,0.6333333,0.56666666,0.6,0.3,0.4,0.36666667,0.43333334,-0.2,0.4,0.2,0.26666668,0.13333334,0.30991796,0.6016947,0.5497226,0.57801867,0.5911241,0.6900821,0.39830527,0.4502774,0.4219813,0.4088759,-0.3801641,0.20338944,0.099445194,0.15603736,0.18224819,0.92079145,0.93341804,0.8329699,0.9850818,0.87121975,0.18284807,0.21840632,0.23248298,0.3675041,0.33670655,0.4142262,0.70613414,0.969476,0.9105702,0.9586011,0.33696625,0.5909863,0.49744305,0.5143999,0.51539177,0.6630338,0.4090137,0.5025569,0.4856001,0.48460823,-0.32606754,0.18197261,-0.0051138853,0.028799763,0.030783556
SZ000157,0.13665253612669975,1.0,,SZ000157,中联重科,2026-03-09,-0.03608251,0.05257732,-0.6862752,0.0030927835,0.05882353,0.013402028,0.25490132,-0.025773264,-0.49019736,1.0374331,1.0406418,0.98609626,1.0006024,1.0630975,1.0267345,0.93797237,0.9358327,0.8616687,1.0278112,1.0466323,1.029359,1.0014981,0.9504611,0.020109313,0.024088902,0.03489585,0.04932287,0.06364789,-0.0014989182,-0.005859261,0.0030743876,0.0045312955,0.0033065486,0.013889973,0.54232925,0.2716675,0.65410846,0.823155,-0.024813352,-0.020265633,-0.058565687,-0.067201935,-0.048004277,1.0684563,1.0866288,1.0866288,1.0866288,1.0866288,0.98609626,0.98609626,0.9197864,0.91551113,0.85852766,1.0423541,1.0667349,1.060539,1.0536944,1.0241761,1.0179733,1.0233225,1.0017117,0.94694984,0.89258593,0.2,0.1,0.175,0.45,0.725,0.16881634,0.13830063,0.48077464,0.49374723,0.62021756,0.2,0.3,0.65,0.76666665,0.8833333,1.0,1.0,0.05,0.26666668,0.016666668,-0.8,-0.7,0.6,0.5,0.8666667,-0.8101874,-0.16651429,-0.3247921,-0.30794662,0.39296314,-0.83729005,-0.4319848,0.13581999,0.092807405,0.18940617,0.6,0.5,0.55,0.46666667,0.51666665,0.4,0.5,0.45,0.5,0.46666667,0.2,0.0,0.1,-0.033333335,0.05,0.24786253,0.42857158,0.5809998,0.57246035,0.587344,0.7521375,0.5714284,0.4190002,0.42753968,0.412656,-0.5042749,-0.14285682,0.16199957,0.14492066,0.17468798,0.76063424,0.8004763,0.86019474,0.88783807,0.7705211,0.24998218,0.20403527,0.30793706,0.2959777,0.3115748,1.0310036,1.1682627,1.6634753,1.8562462,1.7161233,0.58439547,0.5528385,0.5292767,0.4825508,0.51821977,0.41560453,0.4471615,0.47072327,0.5174492,0.48178023,0.16879094,0.10567702,0.058553472,-0.03489839,0.036439512
SH601018,0.1011987195931393,1.0,,SH601018,宁波港,2026-03-09,0.0047281324,0.030732824,0.15384634,0.02364066,0.7692317,0.00236403,0.076922,-0.0165485,-0.53846335,0.9952941,1.0235294,0.9929412,1.0077788,1.0050421,0.9529412,0.91932774,0.8537816,0.8941177,0.99630255,0.99008405,0.9747059,0.9443698,0.9052381,0.005367623,0.0149580855,0.021848569,0.04855098,0.052380893,0.0025210048,0.0035345017,0.003178113,0.005231957,0.0025371658,0.55147177,0.51181835,0.74056077,0.89998245,0.7155694,-0.0013445377,-0.00598931,-0.004897971,-0.02023314,0.019915491,1.0235294,1.0235294,1.0235294,1.0235294,1.0235294,0.9458824,0.9458824,0.9206672,0.8524333,0.8514295,1.0,1.0010084,1.0,0.98924375,0.96705884,0.9922689,0.97142863,0.9636975,0.88806725,0.8638656,0.8,0.7,0.85,0.9,0.95,0.69696957,0.69696957,0.7712531,0.8624784,0.86328053,1.0,1.0,1.0,1.0,1.0,0.4,0.7,0.05,0.033333335,0.31666666,0.6,0.3,0.95,0.96666664,0.68333334,-0.96793133,0.41307822,-0.124138676,0.05844298,0.39352873,-0.7932708,0.5265574,0.37755746,0.5235447,0.23799686,0.2,0.4,0.55,0.6,0.45,0.4,0.2,0.25,0.23333333,0.4,-0.2,0.2,0.3,0.36666667,0.05,0.41176397,0.7916667,0.73529404,0.7843136,0.6329113,0.58823603,0.20833333,0.264706,0.21568638,0.36708868,-0.17647207,0.5833333,0.47058803,0.56862724,0.26582268,1.2191226,1.1580454,1.1509668,1.1619537,0.9761813,0.39247257,0.3436225,0.42072013,0.4402359,0.49028745,1.0039115,1.3972436,1.3163005,1.2781626,1.4626138,0.33973655,0.5197317,0.4824923,0.5118781,0.50724125,0.6602635,0.48026833,0.51750773,0.48812193,0.49275875,-0.32052693,0.039463352,-0.035015404,0.023756126,0.014482494
SH600039,0.10078438960500041,1.0,,SH600039,四川路桥,2026-03-09,-0.051184878,0.056872092,-0.8999999,0.0028436074,0.05000005,0.0028436074,0.05000005,-0.051184878,-0.8999999,1.0539461,1.056943,0.997003,1.0204742,1.013989,0.9540859,0.9700831,1.0100415,0.94404435,1.0238088,1.0044183,0.9894841,0.992103,0.9920822,0.024846226,0.029239906,0.026557073,0.027477179,0.029057939,0.0031925167,0.0076790056,0.0030552652,0.00021382577,0.00036181166,0.04127485,0.6322218,0.46323934,0.004693291,0.0472863,-0.030193908,-0.03897382,-0.018509109,0.004796552,-0.0027556429,1.0619897,1.0619897,1.0619897,1.0619897,1.0639647,0.98504645,0.94605696,0.94605696,0.94605696,0.9111136,1.0458033,1.0197922,1.0074239,1.0145984,1.0174239,1.00482,0.9788366,0.96947366,0.96947366,0.9700831,0.2,0.5,0.75,0.7,0.6666667,0.19434498,0.46529594,0.46529594,0.46529594,0.58152276,0.8,0.9,0.95,0.96666664,0.45,0.4,0.1,0.55,0.7,0.05,0.4,0.8,0.4,0.26666668,0.4,-0.62775713,0.3690631,0.5733501,0.2121451,0.19195212,-0.791815,-0.07943855,0.012982684,-0.14943132,0.07947483,0.6,0.8,0.6,0.53333336,0.51666665,0.4,0.2,0.4,0.46666667,0.48333332,0.2,0.6,0.2,0.06666667,0.033333335,0.4396654,0.63056314,0.5542441,0.48737156,0.53598785,0.5603346,0.36943686,0.44575587,0.51262844,0.46401215,-0.12066921,0.2611263,0.10848826,-0.025256861,0.071975686,0.80922735,0.7323356,0.59889644,0.65833986,0.7413121,0.10723944,0.16315807,0.2007998,0.2335645,0.3549734,1.0432075,1.1104237,1.2597493,1.0717177,1.9169561,0.67837054,0.7010057,0.555624,0.51026285,0.52262646,0.3216295,0.2989943,0.44437596,0.48973715,0.4773735,0.356741,0.4020114,0.11124806,0.02052572,0.04525296
SH600926,0.10004415678469497,1.0,,SH600926,杭州银行,2026-03-09,-0.001827063,0.019488482,-0.09375092,0.01339831,0.68749887,0.004263109,0.21875018,-0.010962264,-0.56249964,1.0018305,1.0152532,0.9957291,1.0031031,1.0048815,0.99023706,0.986053,0.9377034,0.9646676,1.0064621,1.0003719,0.9971409,0.98096234,0.96228886,0.004287431,0.008211196,0.012443556,0.028327828,0.028855665,-0.0007438413,0.0020624672,0.0011007302,0.0027507707,0.0013134622,0.075249955,0.57832587,0.27386767,0.7307753,0.6319356,-0.0049744365,-0.009653028,-0.007597798,-0.020848515,-0.001035989,1.0220536,1.0220536,1.0220536,1.0220536,1.0220536,0.98896104,0.98120046,0.96103555,0.9163778,0.9163778,1.0099953,1.0067875,1.0064156,1.005021,0.99507207,1.0044631,0.992887,0.98977214,0.9559275,0.932357,0.2,0.5,0.5,0.6666667,0.8333333,0.3335774,0.4601735,0.6385718,0.7913086,0.7913086,0.2,0.6,0.8,0.8666667,0.93333334,0.4,0.2,0.1,0.06666667,0.53333336,-0.2,0.4,0.7,0.8,0.4,-0.5439681,0.07777134,-0.17587824,-0.59590447,-0.30374128,-0.73706925,-0.20172957,0.10752463,0.12902434,0.20369618,0.6,0.6,0.45,0.53333336,0.51666665,0.4,0.4,0.55,0.46666667,0.48333332,0.2,0.2,-0.1,0.06666667,0.033333335,0.35616356,0.6029413,0.5467291,0.61858404,0.53307223,0.64383644,0.39705876,0.4532709,0.38141596,0.4669278,-0.2876729,0.20588249,0.09345815,0.2371681,0.066144414,1.0366864,0.95515895,1.060714,1.3730998,1.3934381,0.5106896,0.37484038,0.3789087,0.6362146,0.59852636,1.2580434,1.0873128,1.311013,1.0900837,1.3158828,0.46298006,0.55611646,0.45639583,0.45084363,0.49507698,0.53701997,0.44388357,0.54360414,0.54915637,0.50492305,-0.07403988,0.11223288,-0.0872083,-0.098312736,-0.009846052
SZ300274,0.09716687343500031,1.0,,SZ300274,阳光电源,2026-03-09,0.049228873,0.062495824,0.7877146,0.0070712212,0.1131471,0.006195729,0.09913829,0.04835338,0.7737058,0.9530809,1.0067395,0.94717586,0.9892335,0.9587904,0.95737916,0.9691925,1.0974995,1.1369057,0.96695787,0.96116817,0.9646534,0.9831174,1.0420147,0.019209923,0.021825954,0.023045273,0.04191064,0.072847515,0.007515992,0.0017271425,0.00010067291,-0.002960404,-0.0036194508,0.38270253,0.057401247,0.0006679278,0.386683,0.75293195,0.018010123,0.031059701,0.03439025,0.05980845,0.06475902,1.0067395,1.0067395,1.0225899,1.1332495,1.2297794,0.9390226,0.9119356,0.9056504,0.9056504,0.9056504,0.97273517,0.9711696,0.9850321,1.0172418,1.1054709,0.954171,0.9492823,0.9497318,0.954171,0.9651362,1.0,1.0,0.95,0.73333335,0.36666667,0.90047604,0.9289116,0.8068243,0.41454297,0.29108676,1.0,1.0,0.35,0.033333335,0.06666667,0.4,0.5,0.25,0.5,0.75,0.6,0.5,0.1,-0.46666667,-0.68333334,0.7627167,0.12060336,0.20783561,0.14203848,0.18690774,0.979399,0.23724236,0.36145747,0.2275497,0.30150983,0.6,0.6,0.55,0.46666667,0.51666665,0.4,0.4,0.45,0.53333336,0.48333332,0.2,0.2,0.1,-0.06666667,0.033333335,0.80631423,0.61104494,0.5348027,0.42907515,0.45166078,0.1936858,0.38895506,0.4651973,0.5709248,0.5483392,0.6126284,0.2220899,0.0696054,-0.1418497,-0.096678406,0.6807507,0.67487234,0.6740587,0.723567,0.749256,0.26513764,0.25446397,0.1947979,0.20382471,0.20377626,1.3809817,1.1387439,0.9764629,0.90131235,0.9938746,0.5324066,0.5662601,0.50338995,0.51083636,0.51959056,0.4675934,0.4337399,0.49661005,0.48916364,0.48040944,0.06481321,0.1325202,0.0067799045,0.021672733,0.039181113
SH601077,0.09227564287479145,1.0,,SH601077,渝农商行,2026-03-09,-0.0030030468,0.018018052,-0.16666879,0.012011957,0.6666624,0.0030030468,0.16666879,-0.012011957,-0.6666624,1.0030121,1.0150602,0.9969879,1.0059003,0.9782609,1.0010352,0.97515523,0.9254659,0.96894413,1.0099379,0.994617,0.9905797,0.9697723,0.9530193,0.008429079,0.017148053,0.022171741,0.037968848,0.033233095,-0.0034161545,0.004140785,0.0020812913,0.0036880178,0.0013362641,0.4106339,0.5344993,0.308414,0.7311944,0.49310893,-0.0031055762,-0.013250513,-0.010351975,-0.023248516,0.00756089,1.0344437,1.0344437,1.0344437,1.0344437,1.0344437,0.96819127,0.9647157,0.9375145,0.89210725,0.89210725,1.0171843,1.0115942,1.010352,1.0045549,0.98302275,1.0024844,0.9782609,0.97805387,0.92505175,0.9231884,0.2,0.6,0.6,0.73333335,0.8666667,0.48011383,0.5060271,0.6446506,0.75801164,0.75801164,0.2,0.6,0.8,0.8666667,0.93333334,0.2,0.5,0.1,0.033333335,0.51666665,0.0,0.1,0.7,0.8333333,0.41666666,0.16317487,0.52116394,-0.006265564,-0.45551997,-0.18067001,0.42544478,0.16150004,0.3250996,0.17258178,0.13160072,0.6,0.5,0.55,0.6333333,0.5,0.4,0.5,0.45,0.36666667,0.5,0.2,0.0,0.1,0.26666668,0.0,0.67796576,0.49438187,0.557143,0.60714287,0.52396166,0.32203424,0.5056181,0.44285703,0.39285716,0.47603837,0.3559315,-0.011236236,0.114285976,0.21428567,0.047923278,1.1735221,1.0149562,0.99131393,1.144153,1.088865,0.35850367,0.31783608,0.29800513,0.36958268,0.36843276,1.2963617,1.5063069,1.2001641,1.2398506,1.1399608,0.44899765,0.5701711,0.46479547,0.47089547,0.5068258,0.5510024,0.42982885,0.5352045,0.52910453,0.4931742,-0.10200472,0.1403423,-0.07040906,-0.05820906,0.013651627
SZ002311,0.08930525073947647,1.0,,SZ002311,海大集团,2026-03-09,-0.016696582,0.03447046,-0.48437363,0.010772075,0.3125016,0.0070018037,0.20312476,-0.020466853,-0.5937505,1.01698,1.027935,0.99287933,1.00718,0.9897688,0.9727921,0.94046843,0.96767646,1.0001755,0.9916245,0.98905164,0.9817882,0.9684254,0.976671,0.017257048,0.014183246,0.018753845,0.025910638,0.023485694,0.004824707,0.0019158423,0.0018601657,0.0022265578,-0.00018824397,0.19541095,0.16725524,0.3443425,0.5722864,0.019594545,-0.0012739049,0.0023270706,0.00054019014,-0.00071048003,0.028882233,1.027935,1.027935,1.027935,1.027935,1.0396167,0.9614609,0.9605474,0.9198477,0.89830524,0.89830524,1.0026631,1.0001454,0.9943027,0.99161947,0.9952505,0.98278254,0.9768344,0.97246104,0.9407694,0.96226496,0.8,0.8,0.9,0.93333334,0.85,0.57976043,0.5854572,0.741551,0.78450114,0.7196499,1.0,1.0,1.0,1.0,0.33333334,0.6,0.1,0.1,0.26666668,0.6333333,0.4,0.9,0.9,0.73333335,-0.3,0.63141495,0.35480458,0.0987237,-0.3660162,-0.32553083,0.38296542,0.06833129,0.34390533,0.24451965,0.050144788,0.4,0.4,0.5,0.43333334,0.43333334,0.6,0.6,0.5,0.56666666,0.53333336,-0.2,-0.2,0.0,-0.13333334,-0.1,0.55537456,0.5834229,0.6030382,0.53914833,0.49988765,0.44462547,0.4165771,0.3969618,0.46085167,0.50011235,0.11074907,0.16684578,0.20607637,0.078296684,-0.00022469186,0.8625387,0.7225554,0.7454924,0.8361059,0.7553271,0.12989196,0.18094148,0.25341126,0.2753046,0.25056282,1.0336318,1.0117453,1.1443797,1.0263432,1.0325058,0.6783053,0.65614516,0.51429737,0.5221699,0.5234189,0.32169464,0.34385484,0.48570266,0.47783014,0.4765811,0.3566107,0.31229034,0.028594684,0.044339735,0.046837818
