instrument,avg_score,pos_ratio,real_label,datetime,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,VWAP0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60
SH601998,0.13186421623676395,1.0,,2026-04-09,-0.008423622,0.021660674,-0.38889012,0.00962694,0.44444323,0.0036101122,0.16666667,-0.014440449,-0.6666667,1.0084952,1.0182039,0.9963592,1.0037678,1.0076833,1.0035461,0.89066195,0.88002366,0.9042553,1.0074468,1.0084516,0.9798759,0.9460205,0.9249902,0.0058597196,0.005114947,0.03755212,0.057518188,0.047543835,-0.0027777806,-0.0008990617,0.005502674,0.0061931172,0.0017272169,0.5618006,0.2832097,0.75153065,0.8984831,0.40253642,-0.0018912611,-0.0044057705,-0.032151304,-0.0358207,0.02405694,1.0232403,1.0295366,1.0295366,1.0295366,1.0295366,0.9833704,0.9833704,0.88617384,0.8615139,0.8615139,1.0102837,1.0112293,1.0079197,1.0076833,0.97257686,1.0037825,1.0047282,0.9548464,0.8804965,0.8821513,0.2,0.1,0.5,0.6666667,0.8333333,0.41709596,0.36021078,0.7939728,0.82421046,0.82421046,0.2,0.5,0.75,0.8333333,0.9166667,0.8,0.9,0.05,0.16666667,0.5833333,-0.6,-0.4,0.7,0.6666667,0.33333334,0.33177778,0.50189805,-0.2986519,0.07182742,-0.06741025,0.2020155,0.101206504,0.369162,0.22625142,0.11008591,0.6,0.5,0.65,0.6,0.5,0.4,0.4,0.3,0.36666667,0.46666667,0.2,0.1,0.35,0.23333333,0.033333335,0.38181832,0.47115394,0.771261,0.7221007,0.5840249,0.6181817,0.5288461,0.22873905,0.27789935,0.4159751,-0.23636337,-0.057692133,0.5425219,0.44420132,0.1680498,1.2485731,1.5371512,2.0644445,1.9358132,2.079396,0.36554042,0.48147914,0.7775628,0.751522,0.7624917,0.54996026,0.9546284,1.2905954,1.2921299,1.09617,0.3274637,0.3164622,0.4864565,0.4846107,0.45149574,0.6725363,0.68353784,0.5135435,0.51538926,0.5485043,-0.34507263,-0.36707562,-0.02708697,-0.030778563,-0.097008534
SH601988,0.1298182317078749,1.0,,2026-04-09,-0.008710812,0.017421624,-0.5,0.005226463,0.2999986,0.0034843492,0.2000014,-0.010452926,-0.5999972,1.0087874,1.0140598,0.99648505,1.0024552,1.0319728,0.9755102,0.9421769,0.92993194,0.9823129,1.0191836,1.0116327,0.98578227,0.97043085,0.95865077,0.016714476,0.02228102,0.031675372,0.034181017,0.028618626,-0.0102721,0.0029231126,0.0045368527,0.003444492,0.0008826146,0.94421923,0.15777287,0.71801573,0.7870133,0.2900978,0.0013605362,-0.024786636,-0.02888239,-0.020375954,0.01531209,1.0494915,1.0494915,1.0494915,1.0494915,1.0494915,0.9895103,0.9704045,0.9353123,0.9227872,0.9192718,1.027347,1.0319728,1.0204082,1.0017687,0.9755102,1.0070748,0.99346936,0.95877546,0.9421769,0.9367347,0.2,0.4,0.7,0.8,0.9,0.17488314,0.3742145,0.56654537,0.60939366,0.61993843,0.2,0.6,0.8,0.8666667,0.93333334,0.8,0.1,0.4,0.1,0.23333333,-0.6,0.5,0.4,0.76666665,0.7,0.3713818,0.4837543,0.30882546,0.41986686,0.28243423,-0.01864524,0.68483186,0.38040054,0.40834066,0.2505785,0.2,0.4,0.55,0.53333336,0.46666667,0.8,0.5,0.35,0.36666667,0.43333334,-0.6,-0.1,0.2,0.16666667,0.033333335,0.21686783,0.6046514,0.64505136,0.6317136,0.51825845,0.78313214,0.39534864,0.35494867,0.36828637,0.48174155,-0.56626433,0.20930274,0.29010266,0.2634273,0.03651688,1.1822118,1.3861127,1.3498696,1.269618,1.2665594,0.17106912,0.56705433,0.46262428,0.49272728,0.41686758,0.5306348,1.5166583,1.4061732,1.4235377,1.3152965,0.2794795,0.45797318,0.5223545,0.5063447,0.46464562,0.7205205,0.5420268,0.47764552,0.49365532,0.5353544,-0.441041,-0.08405363,0.04470895,0.012689327,-0.070708774
SH601825,0.11629693958345726,1.0,,2026-04-09,-0.006593405,0.020879097,-0.31578973,0.007692288,0.3684205,0.006593405,0.31578973,-0.007692288,-0.3684205,1.0066372,1.0143805,0.99336284,1.0013399,1.0116763,0.98165137,0.942452,0.9249374,1.0233527,1.0080067,1.0030024,0.9891576,0.9707534,0.9623853,0.010105182,0.011409915,0.01814194,0.030539818,0.030097062,-0.005170977,0.0016175117,0.0023528375,0.0032121683,0.00053248974,0.65463156,0.184222,0.588687,0.85736424,0.09547159,0.0023353116,-0.010281268,-0.011509558,-0.017329818,0.02190626,1.0288844,1.0304725,1.0304725,1.0304725,1.0304725,0.98676,0.9756292,0.93920285,0.9147109,0.90716773,1.0140116,1.0116763,1.0068389,0.9986655,0.99432856,0.9996664,0.99332774,0.97547954,0.93678063,0.9327773,0.4,0.5,0.75,0.8333333,0.8833333,0.3143065,0.44437116,0.6661266,0.73676497,0.7528683,0.2,0.5,0.75,0.8333333,0.9166667,0.8,0.1,0.05,0.16666667,0.33333334,-0.6,0.4,0.7,0.6666667,0.5833333,0.42271876,0.19157231,-0.13330154,0.06541862,-0.25544992,0.18433645,0.62447613,0.086180955,-0.0061693033,0.07183838,0.4,0.6,0.55,0.6,0.43333334,0.6,0.4,0.45,0.4,0.5,-0.2,0.2,0.1,0.2,-0.06666667,0.3870973,0.5916667,0.63745034,0.6339287,0.47885197,0.6129027,0.4083333,0.36254963,0.3660713,0.521148,-0.22580539,0.18333337,0.27490073,0.26785737,-0.042296078,1.405181,1.6157318,1.6289574,1.5888917,1.8992873,0.2934048,0.43632936,0.4612856,0.46475604,0.7973191,0.32060233,0.4667174,0.80325145,0.82874995,1.0462111,0.24380368,0.47702768,0.4952706,0.4796277,0.4708341,0.7561963,0.5229723,0.5047294,0.52037233,0.52916586,-0.51239264,-0.045944627,-0.009458806,-0.04074462,-0.05833177
SH600015,0.10146599241474205,1.0,,2026-04-09,-0.013477121,0.022910994,-0.5882382,0.001347675,0.058822196,0.008086198,0.35293967,-0.0067385975,-0.2941207,1.0136613,1.0150273,0.99180335,1.0001203,1.0081624,0.9808074,0.95080525,0.9084492,0.92808294,1.0104126,0.99962497,0.9874476,0.9683654,0.9294066,0.008954759,0.01609255,0.018867446,0.032192484,0.047356255,-0.0043679774,0.0037957313,0.0022504968,0.003357997,0.0024183248,0.5948302,0.5099794,0.49796474,0.843244,0.7953796,-0.0016765934,-0.016705781,-0.008827344,-0.017056298,-0.00074718025,1.0272616,1.0272616,1.0272616,1.0272616,1.0272616,0.99180335,0.9686469,0.9454255,0.9056326,0.86196965,1.0155747,1.0115597,1.0049857,1.0,0.9786896,1.0033532,0.9823075,0.9752041,0.9342158,0.88078535,0.2,0.45,0.725,0.81666666,0.90833336,0.2311636,0.53490156,0.6668753,0.7758625,0.8350699,0.2,0.6,0.8,0.8666667,0.93333334,1.0,0.3,0.4,0.033333335,0.28333333,-0.8,0.3,0.4,0.8333333,0.65,0.77822536,0.6624764,0.032598283,0.10820357,-0.04346901,0.6547792,0.7006414,0.12249033,0.16903247,0.011897834,0.4,0.5,0.55,0.6333333,0.55,0.6,0.5,0.45,0.36666667,0.43333334,-0.2,0.0,0.1,0.26666668,0.11666667,0.42857143,0.6009282,0.6075218,0.65779483,0.5692439,0.5714286,0.39907178,0.39247823,0.34220517,0.4307561,-0.14285715,0.20185642,0.21504354,0.31558964,0.13848783,1.1715418,1.158444,1.2507467,1.2275594,1.2327315,0.34028047,0.37984875,0.34088445,0.3462706,0.41427773,0.5101564,0.7409159,0.87182033,0.9375195,1.0616131,0.35827485,0.4938904,0.5130512,0.4846342,0.5045462,0.6417252,0.5061096,0.4869488,0.5153658,0.4954538,-0.2834503,-0.012219162,0.026102398,-0.030731617,0.0090924
SH601298,0.08995463715629573,1.0,,2026-04-09,-0.012471641,0.019274313,-0.6470603,0.0022675346,0.11764543,0.0045351363,0.23529433,-0.0102040395,-0.5294114,1.0126292,1.0149254,0.9954076,1.0025871,1.0034246,1.0111301,1.0547944,1.057363,0.97431505,1.0,0.9964897,1.0110873,1.0272546,1.0289954,0.01375204,0.011231756,0.023451094,0.03076206,0.048808746,-0.00034246044,0.001105234,-0.002878127,-0.003089239,0.00023774664,0.0015503386,0.08876151,0.5271834,0.7815808,0.00723658,0.00068493444,-0.0014632542,0.01625491,0.01753943,-0.03600893,1.0149254,1.0192395,1.0662721,1.0928341,1.1431274,0.97314936,0.97314936,0.9720018,0.9720018,0.94775635,1.009589,1.004452,1.0369862,1.0547944,1.0744863,0.99554795,0.9869863,0.99212325,0.99948627,0.9773972,0.5,0.65,0.375,0.25,0.34166667,0.6427292,0.5825673,0.29699916,0.23171143,0.26740724,1.0,0.1,0.05,0.13333334,0.36666667,0.6,0.8,0.4,0.6,0.1,0.4,-0.7,-0.35,-0.46666667,0.26666668,-0.22719362,-0.406394,-0.24335058,0.35753244,0.35660794,-0.1491014,-0.23428687,-0.41775465,-0.07975754,0.12015218,0.4,0.4,0.4,0.43333334,0.46666667,0.6,0.6,0.55,0.5,0.46666667,-0.2,-0.2,-0.15,-0.06666667,0.0,0.48000032,0.4585989,0.39542484,0.42263275,0.51865673,0.5199997,0.5414011,0.60457516,0.57736725,0.48134324,-0.039999366,-0.08280219,-0.20915031,-0.15473452,0.03731351,1.4714011,1.5337975,1.547074,1.7637272,2.5150347,0.47594965,0.38100046,0.34645167,0.59970164,1.5564495,0.97777504,0.95037776,1.0735633,1.0475817,1.8505735,0.40595028,0.44833407,0.47373036,0.4839501,0.4732905,0.59404975,0.5516659,0.5262697,0.51604986,0.5267095,-0.18809944,-0.10333186,-0.052539293,-0.032099776,-0.053418968
SZ001965,0.08925885395176378,1.0,,2026-04-09,-0.013559392,0.016949153,-0.80000407,0.0011298818,0.06666303,0.0022598794,0.13333288,-0.012429394,-0.73333424,1.0137458,1.0148911,0.99770904,1.004839,1.1246777,1.1625108,1.16681,1.1031815,1.1255374,1.0438521,1.0928633,1.1279451,1.1254514,1.1143595,0.056658525,0.06508877,0.058718253,0.0496021,0.038104154,-0.030782469,-0.0198963,-0.008055394,-0.0018304462,0.00031010798,0.737932,0.8565327,0.65871155,0.10553961,0.020201383,0.017712789,-0.0033299804,-0.051418778,-0.09890999,-0.12350764,1.1433058,1.1819882,1.1903092,1.1903092,1.1903092,0.99770904,0.99770904,0.99770904,0.99770904,0.99770904,1.0639726,1.1423904,1.1705934,1.1693895,1.1418746,1.011694,1.0180569,1.1086845,1.1026655,1.0877043,0.2,0.1,0.05,0.033333335,0.016666668,0.015734848,0.012431913,0.011894817,0.011894817,0.011894817,0.2,0.1,0.3,0.53333336,0.76666665,1.0,1.0,1.0,1.0,1.0,-0.8,-0.9,-0.7,-0.46666667,-0.23333333,-0.39972973,-0.6505252,-0.4451363,-0.37088978,-0.23929489,-0.6947091,-0.69482595,-0.5241095,-0.48572412,-0.36592746,0.4,0.3,0.4,0.5,0.46666667,0.6,0.7,0.55,0.43333334,0.45,-0.2,-0.4,-0.15,0.06666667,0.016666668,0.124352396,0.12648247,0.26570046,0.39473686,0.41204825,0.8756476,0.8735175,0.73429954,0.6052631,0.5879517,-0.7512952,-0.747035,-0.46859908,-0.21052627,-0.1759035,1.4568758,1.0602285,1.0077572,1.0266097,0.9262458,0.91989565,0.74873006,0.53515166,0.4655442,0.3975579,1.6552845,2.2001255,2.3145876,2.216287,2.441719,0.5405245,0.48932606,0.5000465,0.5135236,0.48187554,0.45947555,0.51067394,0.49995354,0.48647642,0.51812446,0.08104891,-0.021347873,9.294365e-05,0.027047163,-0.036248907
SH601607,0.08545907521784712,1.0,,2026-04-09,-0.006972732,0.014526398,-0.4800042,0.006972623,0.4799967,0.00058104284,0.0399991,-0.013364312,-0.9200018,1.0070217,1.0140433,0.99941486,1.0047922,1.0064285,0.9701759,1.0064285,1.0116978,1.0468436,1.0099589,0.9975498,0.9950969,0.998082,1.0090438,0.005682136,0.017932864,0.019855293,0.016848473,0.01909841,-0.0029349823,0.00473818,0.00017182509,-0.0003603024,-0.00075828464,0.667003,0.6399341,0.0026211303,0.035441726,0.48080608,-0.004088934,-0.018871604,0.003270711,0.0071424004,0.013325591,1.0164206,1.0164206,1.0175909,1.0175909,1.0608459,0.9953195,0.9561244,0.9496926,0.9496926,0.9496926,1.0131415,1.0119401,1.0116978,1.0106544,1.0184108,1.0088944,0.98174727,0.9753188,0.9872484,1.0009274,0.2,0.5,0.5,0.4,0.2,0.22181487,0.72766775,0.74092245,0.74092245,0.45259494,0.4,0.7,0.2,0.46666667,0.083333336,0.6,0.2,0.4,0.6,0.8,-0.2,0.5,-0.2,-0.13333334,-0.71666664,0.91699046,0.8744382,0.35866573,0.2046646,0.40189344,0.871388,0.80920595,0.033392392,0.052830614,-0.066570796,0.4,0.6,0.55,0.53333336,0.5,0.6,0.4,0.45,0.43333334,0.48333332,-0.2,0.2,0.1,0.1,0.016666668,0.35944822,0.69735044,0.47989464,0.46991873,0.43396232,0.6405518,0.30264953,0.52010536,0.5300813,0.56603765,-0.28110355,0.39470094,-0.040210716,-0.060162514,-0.13207534,1.4708405,1.3259456,1.1757534,1.1058226,1.3130791,0.34550777,0.4500055,0.4075388,0.39663061,0.7245864,1.0237225,0.8365858,1.3453317,1.4754281,1.9260838,0.293858,0.550992,0.5320456,0.5017312,0.49154514,0.706142,0.449008,0.4679544,0.49826875,0.50845486,-0.412284,0.101984,0.06409121,0.0034624755,-0.016909745
SZ000895,0.08360014603731825,1.0,,2026-04-09,0.0018076666,0.014822793,0.12195182,0.009399794,0.63414454,0.0036153332,0.24390364,-0.003976794,-0.26828912,0.9981956,1.0093828,0.99458677,1.0013982,1.0140715,0.9841258,0.992789,0.94515383,0.95272785,1.0072936,1.0103595,1.010414,0.9962138,0.9670731,0.0157226,0.013978328,0.01575261,0.025865976,0.03599454,-0.0072911107,-0.0011305868,-0.00051474053,0.0019353803,0.0018393918,0.53762394,0.059966523,0.03737143,0.43388695,0.79648036,0.007288623,-0.005271881,-0.005523938,-0.024276786,-0.021335138,1.0411443,1.0411443,1.0411443,1.0411443,1.0411443,0.98376083,0.98376083,0.9566987,0.9422623,0.9097833,1.0125642,1.0250456,1.0256991,1.0250456,1.0034678,0.9986304,0.99884576,0.99625176,0.979366,0.92840827,0.4,0.3,0.3,0.53333336,0.76666665,0.28299412,0.28299412,0.5127714,0.58390504,0.6867845,0.2,0.6,0.8,0.8666667,0.93333334,0.8,0.9,0.5,0.1,0.23333333,-0.6,-0.3,0.3,0.76666665,0.7,0.4452621,0.34390965,-0.32371137,0.31422132,0.0385524,0.1467837,0.088595964,-0.36697987,-0.14413767,0.0039538424,0.4,0.5,0.5,0.56666666,0.46666667,0.6,0.5,0.5,0.43333334,0.53333336,-0.2,0.0,0.0,0.13333334,-0.06666667,0.40202215,0.56356543,0.51509124,0.5891863,0.549131,0.5979778,0.43643457,0.48490876,0.41081372,0.45086902,-0.19595568,0.12713088,0.030182477,0.17837258,0.09826195,1.1720018,1.3163284,1.4369211,1.3335801,1.3194842,0.117606066,0.20853229,0.42115775,0.40713778,0.40594196,0.67414826,0.6291687,1.1150794,1.2008055,1.2151234,0.27668843,0.2022852,0.4953328,0.501254,0.48394954,0.7233116,0.79771477,0.50466716,0.49874598,0.51605046,-0.44662318,-0.5954296,-0.009334384,0.0025080529,-0.032100923
SH600999,0.07726433460168414,0.875,,2026-04-09,-0.011428614,0.014603177,-0.7826114,0.0,0.0,0.0031745636,0.21738856,-0.00825405,-0.5652229,1.0115607,1.0115607,0.99678874,1.0014557,1.0119674,0.9877409,1.0353181,1.0750146,1.1412727,1.004495,0.99646825,1.0033859,1.0160732,1.0541594,0.009291416,0.014266577,0.020610595,0.026453685,0.043820135,0.0011967247,0.0035928446,-0.0014304585,-0.0022794995,-0.0022745258,0.04147293,0.58136487,0.1685922,0.575451,0.8217396,-0.006888517,-0.012636019,0.010203451,0.016979547,0.012939115,1.0210742,1.0210742,1.0473439,1.0788091,1.1457709,0.99211913,0.9657337,0.9587274,0.9587274,0.9587274,1.008056,1.0063632,1.0215995,1.0353181,1.0951548,0.99854064,0.98272043,0.98272043,0.9907764,1.010975,0.6,0.7,0.5,0.33333334,0.16666667,0.2721758,0.61919034,0.46574375,0.34370407,0.22065751,0.8,0.9,0.2,0.033333335,0.016666668,0.6,0.2,0.4,0.6,0.8,0.2,0.7,-0.2,-0.56666666,-0.78333336,0.82466125,0.5600232,0.32083696,0.4890096,0.7038223,0.91952616,0.59767306,0.02544366,-0.07206829,0.10830272,0.2,0.4,0.4,0.4,0.38333333,0.6,0.5,0.55,0.53333336,0.5833333,-0.4,-0.1,-0.15,-0.13333334,-0.2,0.39266977,0.55555534,0.42049932,0.37750238,0.38102248,0.6073302,0.4444447,0.5795007,0.6224976,0.61897755,-0.21466045,0.11111064,-0.15900135,-0.24499525,-0.23795505,0.8746639,0.89626074,1.1012897,1.2316972,1.6798147,0.27655455,0.29300895,0.44235078,0.4934077,0.7871501,1.0426652,0.8765133,1.2832091,1.236933,0.9907753,0.45283774,0.5389584,0.49383935,0.42524242,0.4347536,0.54716223,0.46104163,0.5061606,0.5747576,0.5652464,-0.09432453,0.07791674,-0.012321282,-0.14951515,-0.13049284
SH600039,0.07543638749709168,1.0,,2026-04-09,-0.021829518,0.032224555,-0.6774187,0.009355534,0.29032314,0.0010395037,0.032258127,-0.030145546,-0.93548375,1.0223167,1.031881,0.9989373,1.0118961,1.0053039,1.0531124,1.0541437,1.0318968,1.064825,1.0142174,1.0329208,1.0353665,1.0482947,1.0533652,0.01094772,0.027807275,0.024449319,0.030555092,0.030894587,-0.0025488154,-0.006967802,-0.001671471,-0.0021606812,-0.0008693349,0.1355094,0.5755542,0.16358075,0.38753942,0.24149562,-0.009119702,-0.0015657272,-0.01948753,-0.016964799,-0.02771989,1.031881,1.0913827,1.0913827,1.1296598,1.1317606,0.99893034,0.99893034,0.9893826,0.9893826,0.9893826,1.0218785,1.0590497,1.0565009,1.0701289,1.0792487,1.0067772,1.007838,1.0127146,1.0193297,1.0276244,0.2,0.1,0.1,0.06666667,0.033333335,0.03246211,0.0115697095,0.10409199,0.07568871,0.074571915,1.0,0.4,0.7,0.23333333,0.083333336,0.2,0.6,0.4,0.6,0.8,0.8,-0.2,0.3,-0.36666667,-0.71666664,0.84296685,-0.10230497,-0.1955206,0.23121566,0.20642203,0.48161802,-0.39222378,-0.3455035,-0.26310322,-0.27483365,0.4,0.4,0.45,0.5,0.46666667,0.6,0.5,0.5,0.43333334,0.5,-0.2,-0.1,-0.05,0.06666667,-0.033333335,0.4648436,0.33768576,0.42483127,0.47045177,0.46432045,0.53515637,0.66231424,0.5751687,0.5295482,0.5356795,-0.07031277,-0.32462847,-0.15033744,-0.05909647,-0.07135907,1.1580586,1.2901528,1.2652106,1.3446622,1.3992677,0.23166023,0.42167163,0.32672507,0.36527961,0.46783528,0.63775516,1.6169297,1.2295933,1.2001292,1.1569998,0.20454699,0.48811603,0.510406,0.46983308,0.48878914,0.795453,0.511884,0.489594,0.5301669,0.51121086,-0.590906,-0.023767967,0.020811984,-0.060333837,-0.02242172
